Datawrappergemeente,Gemiddeldinkomenperinwoner,Gemeente
Aartselaar,23564,Aartselaar
Antwerpen,16081,Antwerpen
Boechout,22556,Boechout
Boom,17333,Boom
Borsbeek,18869,Borsbeek
Brasschaat,22794,Brasschaat
Brecht,21119,Brecht
Edegem,22899,Edegem
Essen,18257,Essen
Hemiksem,19295,Hemiksem
Hove,25928,Hove
Kalmthout,20899,Kalmthout
Kapellen,23103,Kapellen
Kontich,23207,Kontich
Lint,23003,Lint
Mortsel,21095,Mortsel
Niel,18026,Niel
Ranst,21850,Ranst
Rumst,21391,Rumst
Schelle,21008,Schelle
Schilde,25607,Schilde
Schoten,21864,Schoten
Stabroek,21109,Stabroek
Wijnegem,20950,Wijnegem
Wommelgem,20802,Wommelgem
Wuustwezel,19072,Wuustwezel
Zandhoven,21339,Zandhoven
Zoersel,22300,Zoersel
Zwijndrecht,20145,Zwijndrecht
Malle,20181,Malle
Berlaar,19573,Berlaar
Bonheiden,25222,Bonheiden
Bornem,21659,Bornem
Duffel,20862,Duffel
Heist-op-den-Berg,19848,Heist-op-den-Berg
Lier,19981,Lier
Mechelen,19240,Mechelen
Nijlen,19926,Nijlen
Putte,20448,Putte
Puurs,21817,Puurs
Sint-Amands,20351,Sint-Amands
Sint-Katelijne-Waver,21344,Sint-Katelijne-Waver
Willebroek,18333,Willebroek
Arendonk,18102,Arendonk
Baarle-Hertog,16044,Baarle-Hertog
Balen,18831,Balen
Beerse,20545,Beerse
Dessel,18784,Dessel
Geel,19950,Geel
Grobbendonk,20805,Grobbendonk
Herentals,20032,Herentals
Herenthout,19117,Herenthout
Herselt,19562,Herselt
Hoogstraten,18588,Hoogstraten
Hulshout,20346,Hulshout
Kasterlee,20851,Kasterlee
Lille,19744,Lille
Meerhout,19193,Meerhout
Merksplas,18848,Merksplas
Mol,19285,Mol
Olen,19616,Olen
Oud-Turnhout,20448,Oud-Turnhout
Ravels,17709,Ravels
Retie,19170,Retie
Rijkevorsel,18268,Rijkevorsel
Turnhout,17661,Turnhout
Vorselaar,19768,Vorselaar
Vosselaar,22100,Vosselaar
Westerlo,19893,Westerlo
Laakdal,19399,Laakdal
Anderlecht,11755,Anderlecht
Oudergem,18615,Oudergem
Sint-Agatha-Berchem,15545,Sint-Agatha-Berchem
Brussel,12801,Brussel
Etterbeek,14815,Etterbeek
Evere,13654,Evere
Vorst,14812,Vorst
Ganshoren,15020,Ganshoren
Elsene,16829,Elsene
Jette,14974,Jette
Koekelberg,12680,Koekelberg
Sint-Jans-Molenbeek,10406,Sint-Jans-Molenbeek
Sint-Gillis,13438,Sint-Gillis
Sint-Joost-ten-Node,9297,Sint-Joost-ten-Node
Schaarbeek,12133,Schaarbeek
Ukkel,20374,Ukkel
Watermaal-Bosvoorde,20102,Watermaal-Bosvoorde
Sint-Lambrechts-Woluwe,17367,Sint-Lambrechts-Woluwe
Sint-Pieters-Woluwe,20163,Sint-Pieters-Woluwe
Asse,19972,Asse
Beersel,21869,Beersel
Bever,20209,Bever
Dilbeek,21950,Dilbeek
Galmaarden,21281,Galmaarden
Gooik,22106,Gooik
Grimbergen,21545,Grimbergen
Halle,19529,Halle
Herne,21247,Herne
Hoeilaart,22783,Hoeilaart
Kampenhout,23625,Kampenhout
Kapelle-op-den-Bos,22196,Kapelle-op-den-Bos
Liedekerke,19216,Liedekerke
Londerzeel,21838,Londerzeel
Machelen,16424,Machelen
Meise,23591,Meise
Merchtem,22298,Merchtem
Opwijk,21535,Opwijk
Overijse,23713,Overijse
Pepingen,22947,Pepingen
Sint-Pieters-Leeuw,18410,Sint-Pieters-Leeuw
Steenokkerzeel,22369,Steenokkerzeel
Ternat,22146,Ternat
Vilvoorde,17514,Vilvoorde
Zaventem,18984,Zaventem
Zemst,23873,Zemst
Roosdaal,21752,Roosdaal
Drogenbos,16419,Drogenbos
Kraainem,21829,Kraainem
Linkebeek,22530,Linkebeek
Sint-Genesius-Rode,25272,Sint-Genesius-Rode
Wemmel,21287,Wemmel
Wezembeek-Oppem,23460,Wezembeek-Oppem
Lennik,23934,Lennik
Affligem,21251,Affligem
Aarschot,20796,Aarschot
Begijnendijk,21641,Begijnendijk
Bekkevoort,20129,Bekkevoort
Bertem,22947,Bertem
Bierbeek,25402,Bierbeek
Boortmeerbeek,23832,Boortmeerbeek
Boutersem,22894,Boutersem
Diest,20145,Diest
Geetbets,19313,Geetbets
Haacht,22741,Haacht
Herent,24489,Herent
Hoegaarden,22186,Hoegaarden
Holsbeek,23242,Holsbeek
Huldenberg,22682,Huldenberg
Keerbergen,27540,Keerbergen
Kortenaken,19983,Kortenaken
Kortenberg,23025,Kortenberg
Landen,20153,Landen
Leuven,20706,Leuven
Lubbeek,24502,Lubbeek
Oud-Heverlee,26590,Oud-Heverlee
Rotselaar,23383,Rotselaar
Tervuren,23476,Tervuren
Tienen,19683,Tienen
Tremelo,21968,Tremelo
Zoutleeuw,19804,Zoutleeuw
Linter,20360,Linter
Scherpenheuvel-Zichem,20017,Scherpenheuvel-Zichem
Tielt-Winge,21253,Tielt-Winge
Glabbeek,21329,Glabbeek
Beauvechain,21522,Bevekom
Braine-l'Alleud,21611,Eigenbrakel
Braine-le-Château,21213,Kasteelbrakel
Chaumont-Gistoux,23975,Chaumont-Gistoux
Court-Saint-Étienne,20636,Court-Saint-Etienne
Genappe,21262,Genepiën
Grez-Doiceau,22479,Graven
Incourt,21001,Incourt
Ittre,20710,Itter
Jodoigne,19834,Geldenaken
La Hulpe,23233,Terhulpen
Mont-Saint-Guibert,21044,Mont-Saint-Guibert
Nivelles,20839,Nijvel
Perwez,20179,Perwijs
Rixensart,22638,Rixensart
Tubize,16703,Tubeke
Villers-la-Ville,21048,Villers-la-Ville
Waterloo,22474,Waterloo
Wavre,20642,Waver
Chastre,20748,Chastre
Hélécine,19222,Hélécine
Lasne,26395,Lasne
Orp-Jauche,19834,Orp-Jauche
Ottignies-Louvain-la-Neuve,19651,Ottignies-Louvain-la-Neuve
Ramillies,19861,Ramillies
Rebecq,18204,Rebecq
Walhain,21926,Walhain
Beernem,19575,Beernem
Blankenberge,18665,Blankenberge
Brugge,20379,Brugge
Damme,20199,Damme
Jabbeke,21483,Jabbeke
Oostkamp,20413,Oostkamp
